,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,annual_vmt,Efuel Station Count,e85_area,E85 Station Count
28,Stanislaus,CA,1509320031000.0,139719974.5,2563315092.0,62097688.7,417684.99700000003,345441.44,58892.683,13350.874,82.7,14.1,3.2,82.7038180664523,1494.8270000000002,514453,473396,41057,8.0,344.15554442085937,suburban,34.0,38.0,63.0,17.0,15.0,30.0,"$59,616",6,11040.815,34.0,14.09978415367197,3.0
29,Sutter,CA,155871241018.0,26620344.721,373053505.99,10275343.4357,57442.000742,32892.894,24.935742,24524.171,57.3,0.0,42.7,57.26279308212226,602.41,94737,80718,14019,14.8,157.26332564200462,suburban,152.0,62.0,333.0,40.0,21.0,53.0,"$57,879",6,11040.815,2.0,0.0434102960188123,0.0
30,Tuolumne,CA,203676124000.0,26451988.0,392453250.0,10324506.4,61345.0,39547.879,1.1247949000000001e-13,21797.121,64.5,0.0,35.5,64.46797376942149,2220.884,55365,28255,27110,49.0,24.92926240181837,suburban,125.0,209.0,38.0,37.0,45.0,23.0,"$56,500",6,11040.815,11.0,0.0,0.0
31,Yolo,CA,528692110000.0,33357350.0,725811000.0,14253152.0,122622.0,122622.0,0.0,0.0,100.0,0.0,0.0,100.0,1014.689,200849,186931,13918,6.9,197.9414382140735,suburban,64.0,56.0,129.0,28.0,19.0,41.0,"$67,804",6,11040.815,63.0,23.31695963246104,7.0
32,Del Norte,CA,45783428000.0,8396648.600000001,130330662.0,3232786.6,20285.0002,12066.545,0.0,8218.4552,59.5,0.0,40.5,59.485061711399524,1006.373,28610,18976,9634,33.7,28.428823110317946,suburban,279.0,194.0,132.0,49.0,43.0,42.0,"$48,518",5,10504.72,6.0,0.0,0.0
33,Glenn,CA,59840793530.0,7819214.676999999,110939817.07,2975774.2,16884.999954,8236.2344,97.637054,8551.1285,48.8,0.6,50.6,48.77840929833884,1313.9470000000001,28122,16628,11494,40.9,21.402689758414915,suburban,248.0,227.0,81.0,47.0,47.0,36.0,"$47,365",5,10504.72,2.0,0.5782472827232931,0.0
34,Humboldt,CA,271428662000.0,46386536.0,737984950.0,17930242.6,115509.0,71750.661,0.0,43758.339000000014,62.1,0.0,37.9,62.11694417532952,3567.987,134623,94561,40062,29.8,37.7307989070588,suburban,102.0,169.0,20.0,34.0,42.0,14.0,"$49,471",5,10504.72,40.0,0.0,0.0
35,Imperial,CA,569520969200.0,77311980.1,1066785509.0,29522481.0,160949.00050000002,71250.15299999999,4262.8615,85435.98599999999,44.3,2.6,53.1,44.26877619301831,4176.603,174528,144129,30399,17.4,41.7870695395277,suburban,62.0,159.0,14.0,27.0,40.0,10.0,"$46,633",5,10504.72,2.0,2.6485790574592816,1.0
36,Lake CA,CA,253193261000.0,27145584.1,435841340.0,10508520.6,68357.0,43112.265,0.0,25244.735,63.1,0.0,36.9,63.069276278078654,1256.464,64665,43257,21408,33.1,51.465859746081065,suburban,107.0,134.0,88.0,36.0,37.0,38.0,"$45,086",5,10504.72,3.0,0.0,0.0
37,Tulare,CA,950030750000.0,139557809.3,2114781657.0,54061596.1,326745.00139999995,181958.41,8046.0414,136740.55,55.7,2.5,41.8,55.68819906144282,4824.215,442179,373730,68449,15.5,91.65822833352163,suburban,43.0,93.0,9.0,21.0,33.0,7.0,"$48,763",5,10504.72,20.0,2.462483411187777,1.0
38,Yuba,CA,117812378000.0,17962639.0,268124230.0,6873588.2,41347.0,22788.759,0.0,18558.241,55.1,0.0,44.9,55.11587053107718,631.839,72155,53234,18921,26.2,114.19839547732887,suburban,177.0,79.0,325.0,42.0,27.0,52.0,"$47,504",5,10504.72,6.0,0.0,0.0
39,El Dorado,CA,603320186000.0,43344079.5,829516093.0,19005288.6,137799.9974,128887.1,8912.8974,0.0,93.5,6.5,0.0,93.5320048209676,1707.882,181058,118231,62827,34.7,106.01311682357635,suburban,59.0,83.0,50.0,25.0,29.0,27.0,"$81,869",7,11085.985,36.0,6.667582101771688,1.0
40,Napa,CA,202352520000.0,36180631.0,738488400.0,15459503.0,124367.0,124367.0,0.0,0.0,100.0,0.0,0.0,100.0,748.362,136484,118194,18290,13.4,182.3769779865894,suburban,127.0,60.0,288.0,38.0,20.0,48.0,"$85,624",7,11085.985,112.0,12.62304051011619,1.0
41,Placer,CA,475530950000.0,85024933.0,1735456900.0,36330024.0,292264.0,292264.0,0.0,0.0,100.0,0.0,0.0,100.0,1407.009,348432,300393,48039,13.8,247.64020699227936,suburban,72.0,46.0,71.0,29.0,18.0,32.0,"$89,175",7,11085.985,72.0,7.546958628268259,2.0
42,San Benito,CA,137792279000.0,25904270.7,345957220.0,9987391.8,52934.0,29412.584,0.0,23521.416,55.6,0.0,44.4,55.56463571375184,1388.71,55269,42002,13267,24.0,39.798806086223905,suburban,165.0,163.0,74.0,41.0,41.0,35.0,"$80,063",7,11085.985,7.0,0.0,0.0
43,San Diego,CA,5121680100000.0,872938300.0,15831838800.0,390445050.0,2597947.96,2277225.4,320722.56,0.0,87.7,12.3,0.0,87.65477370735451,4206.63,3095313,2993259,102054,3.3,735.8177448456364,suburban,9.0,21.0,13.0,5.0,9.0,9.0,"$78,777",7,11085.985,551.0,21.964331572371968,24.0
44,Santa Barbara,CA,806205945000.0,139706889.1,2164866517.0,56711233.4,344179.99700000003,253401.57,11845.293,78933.134,73.6,3.4,22.9,73.62472333906355,2735.085,423895,402626,21269,5.0,154.98421438456208,suburban,51.0,64.0,31.0,23.0,23.0,21.0,"$75,646",7,11085.985,103.0,3.4415983386638183,1.0
45,Santa Cruz,CA,1050714500000.0,69210035.0,1412656600.0,29572528.0,237902.0,237902.0,0.0,0.0,100.0,0.0,0.0,100.0,445.17,262382,230793,31589,12.0,589.3973088932318,suburban,37.0,26.0,370.0,19.0,10.0,57.0,"$84,213",7,11085.985,46.0,0.0,0.0
46,Solano,CA,1325514500000.0,87310969.0,1782117600.0,37306816.0,300122.0,300122.0,0.0,0.0,100.0,0.0,0.0,100.0,821.765,413344,397974,15370,3.7,502.9953818914166,suburban,35.0,27.0,267.0,18.0,11.0,46.0,"$82,808",7,11085.985,67.0,36.55657611750635,3.0
47,Sonoma,CA,1675351900000.0,127469330.0,2601795900.0,54465948.0,438162.0,438162.0,0.0,0.0,100.0,0.0,0.0,100.0,1575.849,483878,424102,59776,12.4,307.058607772699,suburban,30.0,41.0,54.0,15.0,16.0,29.0,"$81,002",7,11085.985,150.0,0.21869479257576105,0.0
48,Ventura,CA,2988557665000.0,236647063.0,4321972640.0,102619044.1,711435.9949999999,635962.96,49535.02099999999,25938.014,89.4,7.0,3.6,89.39145118856304,1843.1329999999998,823318,797593,25725,3.1,446.6948397104279,suburban,18.0,32.0,46.0,10.0,14.0,26.0,"$84,170",7,11085.985,165.0,6.962681296974195,1.0
49,Los Angeles,CA,13727876700000.0,2314630480.0,44856578700.0,1034258400.0,7391982.039999999,6502629.1,889352.94,0.0,88.0,12.0,0.0,87.96868099546862,4057.884,9818605,9759181,59424,0.6,2419.636687495256,urban,1.0,5.0,15.0,1.0,3.0,11.0,"$67,986",6,10412.94,1753.0,33.793489215734674,34.0
50,Orange CA,CA,11018114000000.0,695177920.0,15126135000.0,297040280.0,2555482.0,2555482.0,0.0,0.0,100.0,0.0,0.0,100.0,790.568,3010232,3005917,4315,0.1,3807.682577589784,urban,3.0,2.0,275.0,2.0,2.0,47.0,"$56,556",6,10412.94,609.0,65.25606329893982,24.0
51,Sacramento,CA,4164772900000.0,262772580.0,5717577300.0,112279230.0,965955.0,965955.0,0.0,0.0,100.0,0.0,0.0,100.0,964.6439999999999,1418788,1389531,29257,2.1,1470.789223796551,urban,12.0,11.0,146.0,7.0,6.0,43.0,"$69,475",6,10412.94,213.0,53.13092797043005,12.0
52,Marin,CA,960235880000.0,57338939.0,1293039600.0,24500166.0,218822.0,218822.0,0.0,0.0,100.0,0.0,0.0,100.0,520.306,252409,235952,16457,6.5,485.1164507040088,suburban,42.0,30.0,357.0,20.0,13.0,55.0,"$122,933",8,10906.435,93.0,0.0,0.0
53,Modoc,CA,14557953460.0,3410706.6010000007,36576111.7,1248550.126,5104.00004,270.03154,0.0,4833.9685,5.3,0.0,94.7,5.2905866383989615,3917.77,9686,2910,6776,70.0,2.472324817434408,rural,364.0,371.0,16.0,56.0,56.0,12.0,"$45,227",5,9327.05,2.0,0.0,0.0
54,Siskiyou,CA,42488910400.0,20046747.27,215296606.6,7339722.0,30059.9996,1676.8786,0.0,28383.121,5.6,0.0,94.4,5.578438589946541,6277.887,44900,15344,29556,65.8,7.152087955708665,rural,291.0,317.0,5.0,51.0,52.0,5.0,"$47,560",5,9327.05,11.0,0.0,0.0
55,Tehama,CA,97800137400.0,22844461.31,248410978.0,8376160.6,34842.9996,2779.1266,0.0,32063.873,8.0,0.0,92.0,7.97614042471218,2949.7090000000003,63463,30787,32676,51.5,21.515003683414193,rural,199.0,225.0,29.0,44.0,46.0,20.0,"$47,572",5,9327.05,5.0,0.0,0.0
56,Trinity CA,CA,32347717750.0,5410520.82,58608243.0,1982932.4819999998,8208.99997,594.29717,0.0,7614.7028,7.2,0.0,92.8,7.239580635258787,3179.2540000000004,13786,0,13786,100.0,4.336237368892198,rural,311.0,343.0,25.0,52.0,54.0,18.0,"$40,486",5,9327.05,3.0,0.0,0.0
57,Santa Clara,CA,5709942440000.0,470018641.0,9037050690.0,207801646.0,1496123.01,1364402.1,131720.91,0.0,91.2,8.8,0.0,91.19585013896692,1290.1,1781642,1762335,19307,1.1,1381.010774358577,urban,8.0,14.0,85.0,4.0,8.0,37.0,"$125,933",9,12200.59,567.0,17.471331872825417,5.0
58,Aitkin,MN,103216630000.0,11259298.0,159219300.0,6433884.6,22605.0,0.0,0.0,22605.0,0.0,0.0,100.0,0.0,1821.6629999999998,16202,0,16202,100.0,8.894070967022989,rural,190.0,303.0,47.0,50.0,77.0,9.0,"$44,016",5,10517.98,,0.0,0.0
59,Beltrami,MN,205040683000.0,30583339.17,434979743.0,17350276.53,62005.0002,2100.3242,0.0,59904.676,3.4,0.0,96.6,3.3873465045761653,2504.94,44442,14626,29816,67.1,17.741742317181252,rural,123.0,248.0,35.0,28.0,59.0,4.0,"$47,073",5,10517.98,3.0,4.973131104277766,3.0
60,Cass MN,MN,183348477000.0,19359640.9,277854213.0,10856521.59,39855.9999,3438.2959,0.0,36417.704,8.6,0.0,91.4,8.626796341160928,2021.5420000000001,28567,0,28567,100.0,14.131291855425214,rural,137.0,268.0,42.0,33.0,66.0,6.0,"$44,154",5,10517.98,1.0,2.419301576583378,0.0
61,Houston MN,MN,89303568800.0,12911480.2,185163629.0,7247830.59,26545.9998,2171.0658,0.0,24374.934,8.2,0.0,91.8,8.178504521700164,552.058,19027,8107,10920,57.4,34.465581514985736,rural,211.0,180.0,349.0,55.0,37.0,61.0,"$39,533",5,10517.98,,29.644186303755436,2.0
62,Mahnomen,MN,24597208000.0,3761566.9,53192840.0,2149466.8,7552.0,0.0,0.0,7552.0,0.0,0.0,100.0,0.0,557.878,5413,0,5413,100.0,9.702838254958971,rural,336.0,296.0,347.0,84.0,73.0,59.0,"$43,162",5,10517.98,,0.0,0.0
63,Norman,MN,31137355000.0,4761729.2,67336275.0,2720988.1,9560.0,0.0,0.0,9560.0,0.0,0.0,100.0,0.0,872.789,6852,0,6852,100.0,7.850694726904213,rural,313.0,310.0,247.0,80.0,80.0,26.0,"$48,799",5,10517.98,,0.0,0.0
64,Traverse,MN,23465278000.0,2472513.0,34964149.0,1412864.5,4964.0,0.0,0.0,4964.0,0.0,0.0,100.0,0.0,573.901,3558,0,3558,100.0,6.199664751124757,rural,339.0,326.0,341.0,85.0,81.0,55.0,"$49,773",5,10517.98,,28.718835556297684,2.0
65,Wadena,MN,86975014900.0,9487268.71,135263632.4,5365671.23,19313.99969,927.83869,0.0,18386.161,4.8,0.0,95.2,4.803969622341254,536.268,13843,4570,9273,67.0,25.81358574444121,rural,213.0,204.0,353.0,57.0,46.0,64.0,"$46,312",5,10517.98,,5.45192615535307,0.0
66,Anoka,MN,1904075750000.0,151024360.0,2898291430.0,71103319.0,461591.0,395740.93,65850.07,0.0,85.7,14.3,0.0,85.73410870920878,423.01,330844,286178,44666,13.5,782.1186260372094,urban,27.0,18.0,378.0,4.0,3.0,81.0,"$82,284",7,9427.56,13.0,87.06082644554695,23.0
67,Hennepin,MN,6375472600000.0,495589640.0,9906276200.0,199486220.0,1607856.0,1607856.0,0.0,0.0,100.0,0.0,0.0,100.0,553.591,1152425,1126784,25641,2.2,2081.7264008988586,urban,6.0,8.0,348.0,1.0,2.0,60.0,"$76,067",7,9427.56,120.0,97.99262328703072,54.0
68,Becker,MN,217761581000.0,23973490.0,320803307.0,14289264.2,45348.9999,0.0,6901.7649,38447.235,0.0,15.2,84.8,0.0,1315.203,32504,7973,24531,75.5,24.71405554883923,rural,117.0,210.0,80.0,25.0,48.0,15.0,"$59,440",6,12107.865,,15.219221721782262,2.0
69,Big Stone,MN,32581373000.0,3796538.7,51912175.0,2358743.84,7351.0,0.0,2213.8551,5137.1449,0.0,30.1,69.9,0.0,499.022,5269,0,5269,100.0,10.558652724729573,rural,310.0,286.0,360.0,79.0,72.0,67.0,"$51,058",6,12107.865,,30.11638007446856,3.0
