,state,county,census_area,efuels_area
277,TX,Kerr,1103.318,0.649661667771413
278,TX,Kimble,1250.987,0.5049495555085077
279,TX,Kinney,1360.055,0.4
280,TX,Knox,850.6210000000001,0.0
281,TX,Lamb,1016.181,0.0
282,TX,Lampasas,712.84,0.2596915305817207
283,TX,La Salle,1486.691,0.4
284,TX,Lavaca,969.7080000000001,0.005710792618837266
285,TX,Liberty,1158.417,0.0012083191656918066
286,TX,Limestone,905.288,0.0
287,TX,Live Oak,1039.6960000000001,0.20561233668748916
288,TX,Llano,934.034,0.6268371139235962
289,TX,Lubbock,895.5989999999999,0.6366597660098499
290,TX,Sabine,491.39,0.0
291,TX,Schleicher,1310.63,0.0
292,TX,Scurry,905.444,0.4
293,TX,Shackelford,914.2860000000001,0.0
294,TX,Sherman,923.035,0.0
295,TX,Starr,1223.1789999999999,0.4
296,TX,Stephens,896.7189999999999,0.4
297,TX,Sterling,923.451,0.0
298,TX,Stonewall,916.313,0.0
299,TX,Swisher,890.159,0.4
300,TX,Medina,1325.356,0.0
301,TX,Midland,900.299,0.6488146380000224
302,TX,Milam,1016.93,0.0
303,TX,Mitchell,911.09,0.4
304,TX,Montague,930.9060000000001,0.0
305,TX,Motley,989.562,0.0
306,TX,Newton,933.677,0.0
307,TX,Nolan,911.997,0.5187560814196476
308,TX,Ochiltree,917.627,0.4
309,TX,Oldham,1500.533,0.0
310,TX,Orange TX,333.66900000000004,0.75930743525797
311,TX,Palo Pinto,951.791,0.0
312,TX,Panola,801.7489999999999,0.0
313,TX,Parmer,880.778,0.0
314,TX,Potter,908.37,0.5343895179172878
315,TX,Presidio,3855.237,0.42883743823605414
316,TX,Randall,911.544,0.5297345067141233
317,TX,Real,699.195,0.0
318,TX,Roberts,924.058,0.0
319,TX,Rockwall,127.036,1.0
320,TX,Runnels,1050.945,0.505071505779101
321,TX,Rusk,924.0269999999999,0.0013887343977745487
322,TX,Tarrant,863.6080000000001,1.0
323,TX,Taylor,915.552,0.5568121039918651
324,TX,Terry,888.8389999999999,0.4
325,TX,Titus,406.05400000000003,0.25557398746500565
326,TX,Tom Green,1521.9720000000002,0.4719602966594198
327,TX,Upshur,582.947,0.00021642052363358245
328,TX,Upton,1241.3239999999998,0.0
329,TX,Uvalde,1551.9460000000001,0.4710272230666254
330,TX,Val Verde,3144.75,0.4314705724314935
331,TX,Walker,784.169,0.5630976893529269
332,TX,Wise,904.422,0.0
333,TX,Yoakum,799.7080000000001,0.4
334,TX,Young,914.4680000000001,0.4
335,TX,Zapata,998.4119999999999,0.4
336,TX,Archer,903.11,0.027600658859079835
337,TX,Atascosa,1219.5439999999999,0.0
338,TX,Bailey,826.797,0.4
339,TX,Bandera,790.961,0.14063414265824906
340,TX,Webb,3361.482,0.4316449729363626
341,TX,Wheeler,914.523,0.0980522955951669
342,TX,Wichita,627.776,0.7063054524674456
343,TX,Wilbarger,970.8439999999999,0.5135100551482368
344,TX,Willacy,590.554,0.4
345,TX,Wilson,803.7330000000001,0.13708434723066562
346,TX,Cooke,874.7589999999999,0.0
347,TX,Coryell,1052.066,0.46885441131961003
348,TX,Crosby,900.198,0.0
349,TX,Culberson,3812.798,0.02976698417270844
350,TX,Dallam,1503.259,0.4
351,TX,Dawson,900.306,0.4
352,TX,Deaf Smith,1496.868,0.4
353,TX,Denton,878.432,0.8675497581294749
354,TX,DeWitt,908.975,0.4
355,TX,Bastrop,888.15,0.18478941520777797
356,TX,Bell,1051.016,0.7626491480788886
357,TX,Blanco,709.2510000000001,0.1850944668193488
358,TX,Borden,897.443,0.0
359,TX,Brewster,6183.733,0.4
360,TX,Briscoe,900.0010000000001,0.0
361,TX,Brooks,943.3639999999999,0.4
362,TX,Brown TX,944.433,0.4
363,TX,Burnet,994.258,0.1963338499645732
364,TX,Callahan,899.372,0.0
365,TX,Carson,920.22,0.0
366,TX,Castro,894.434,0.4
367,TX,Childress,696.405,0.5553225284102218
368,TX,Clay TX,1088.721,0.11274776679824533
369,TX,Coke,911.47,0.0
370,TX,Collin,841.225,0.7498158973377597
371,TX,Collingsworth,918.441,0.022990695979993765
