,state,county,census_area,e85_area
231,TX,Bexar,1239.82,0.5550343267249838
232,TX,Bosque,982.9780000000001,0.0
233,TX,Bowie,885.0060000000001,0.0
234,TX,Brazoria,1357.701,0.12139549293653991
235,TX,Brazos,585.445,0.20125941217703566
236,TX,Burleson,659.0260000000001,0.0
237,TX,Caldwell,545.257,0.036516883648173536
238,TX,Calhoun,506.84,0.0
239,TX,Camp,195.826,0.0
240,TX,Cass_TX,936.9630000000001,0.0
241,TX,Chambers,597.137,0.1201416490328268
242,TX,Cherokee,1052.913,0.0
243,TX,Cochran,775.15,0.0
244,TX,Coleman,1261.9460000000001,0.0
245,TX,Comal,559.476,0.46291525980727755
246,TX,Cottle,900.563,0.0
247,TX,Crane,785.069,0.0
248,TX,Crockett,2807.327,0.0
249,TX,Dallas,871.279,0.7639868858065736
250,TX,Delta,256.825,0.0
251,TX,Dickens,901.7239999999999,0.0
252,TX,Dimmit,1328.884,0.0
253,TX,Ector,897.687,0.038131917213118635
254,TX,Floyd,992.143,0.0
255,TX,Foard,704.3969999999999,0.0
256,TX,Fort Bend,861.4810000000001,0.4118567709063331
257,TX,Freestone,877.7389999999999,0.0
258,TX,Galveston,378.358,0.6151920096868726
259,TX,Glasscock,900.2180000000001,0.0
260,TX,Goliad,852.0139999999999,0.0
261,TX,Lynn,891.867,0.0
262,TX,McCulloch,1065.598,0.0
263,TX,McLennan,1037.101,0.3886929449095911
264,TX,Marion,380.88,0.0
265,TX,Martin_TX,914.944,0.0
266,TX,Mason,928.803,0.0
267,TX,Maverick,1279.258,0.0605595276550754
268,TX,Jackson_TX,829.435,0.0
269,TX,Jefferson,876.295,0.1158856405911845
270,TX,Jim Hogg,1136.138,0.0
271,TX,Jim Wells,864.966,0.0
272,TX,Johnson,724.692,0.24544730222740724
273,TX,Jones,928.554,0.0
274,TX,Karnes,747.556,0.0
275,TX,Kaufman,780.699,0.00914015511316994
276,TX,Kendall,662.453,0.16518563196752145
277,TX,Kerr,1103.318,0.10959578700439833
278,TX,Kimble,1250.987,0.0
279,TX,Kinney,1360.055,0.0
280,TX,Knox,850.6210000000001,0.0
281,TX,Lamb,1016.181,0.0
282,TX,Lampasas,712.84,0.13507740970267978
283,TX,La Salle,1486.691,0.0
284,TX,Lavaca,969.7080000000001,0.0
285,TX,Liberty,1158.417,0.2654066793490806
286,TX,Limestone,905.288,0.0
287,TX,Live Oak,1039.6960000000001,0.11037663132980065
288,TX,Llano,934.034,0.0
289,TX,Lubbock,895.5989999999999,0.2940745083081685
290,TX,Sabine,491.39,0.0
291,TX,Schleicher,1310.63,0.0
292,TX,Scurry,905.444,0.13115721907836606
293,TX,Shackelford,914.2860000000001,0.0
294,TX,Sherman,923.035,0.0
295,TX,Starr,1223.1789999999999,0.0
296,TX,Stephens,896.7189999999999,0.0
297,TX,Sterling,923.451,0.0
298,TX,Stonewall,916.313,0.0
299,TX,Swisher,890.159,0.0
300,TX,Medina,1325.356,0.008821064119949772
301,TX,Midland,900.299,0.0939899136782471
302,TX,Milam,1016.93,0.0
303,TX,Mitchell,911.09,0.0
304,TX,Montague,930.9060000000001,0.0
305,TX,Motley,989.562,0.0
306,TX,Newton,933.677,0.0
307,TX,Nolan,911.997,0.0
308,TX,Ochiltree,917.627,0.0
309,TX,Oldham,1500.533,0.0
310,TX,Orange_TX,333.66900000000004,0.2617393342871755
311,TX,Palo Pinto,951.791,0.0924707159443137
312,TX,Panola,801.7489999999999,0.0
313,TX,Parmer,880.778,0.0
314,TX,Potter,908.37,0.0
315,TX,Presidio,3855.237,0.0
316,TX,Randall,911.544,0.0
317,TX,Real,699.195,0.0
318,TX,Roberts,924.058,0.0
319,TX,Rockwall,127.036,0.037384517310863216
320,TX,Runnels,1050.945,0.0
321,TX,Rusk,924.0269999999999,0.0
322,TX,Tarrant,863.6080000000001,0.8179615950853448
323,TX,Taylor,915.552,0.0
324,TX,Terry,888.8389999999999,0.0
325,TX,Titus,406.05400000000003,0.0
326,TX,Tom Green,1521.9720000000002,0.0
327,TX,Upshur,582.947,0.0
328,TX,Upton,1241.3239999999998,0.0
329,TX,Uvalde,1551.9460000000001,0.0
330,TX,Val Verde,3144.75,0.0
331,TX,Walker,784.169,0.020229122942017157
332,TX,Wise,904.422,0.0
333,TX,Yoakum,799.7080000000001,0.0
334,TX,Young,914.4680000000001,0.0
335,TX,Zapata,998.4119999999999,0.0
336,TX,Archer,903.11,0.0
337,TX,Atascosa,1219.5439999999999,0.09740136990478128
338,TX,Bailey,826.797,0.0
339,TX,Bandera,790.961,0.002824995860832778
340,TX,Webb,3361.482,0.03175304298576205
341,TX,Wheeler,914.523,0.0
342,TX,Wichita,627.776,0.0
343,TX,Wilbarger,970.8439999999999,0.0
344,TX,Willacy,590.554,0.0
345,TX,Wilson,803.7330000000001,0.0
346,TX,Cooke,874.7589999999999,0.0
347,TX,Coryell,1052.066,0.017194285488972512
348,TX,Crosby,900.198,0.0
349,TX,Culberson,3812.798,0.0
350,TX,Dallam,1503.259,0.0
351,TX,Dawson,900.306,0.0
352,TX,Deaf Smith,1496.868,0.0
353,TX,Denton,878.432,0.5239435320516238
354,TX,DeWitt,908.975,0.13072438347909127
355,TX,Bastrop,888.15,0.13284091663553257
356,TX,Bell,1051.016,0.3773121373887388
357,TX,Blanco,709.2510000000001,4.009746412590789e-05
358,TX,Borden,897.443,0.0
359,TX,Brewster,6183.733,0.0
360,TX,Briscoe,900.0010000000001,0.0
361,TX,Brooks,943.3639999999999,0.0
362,TX,Brown_TX,944.433,0.12424945394444804
363,TX,Burnet,994.258,0.1551517157697355
364,TX,Callahan,899.372,0.0
365,TX,Carson,920.22,0.0
366,TX,Castro,894.434,0.0
367,TX,Childress,696.405,0.0
368,TX,Clay_TX,1088.721,0.0
369,TX,Coke,911.47,0.0
370,TX,Collin,841.225,0.49469859392890214
371,TX,Collingsworth,918.441,0.0
372,TX,Colorado,960.2739999999999,0.0
373,TX,Comanche,937.7539999999999,0.0
374,TX,Concho,983.799,0.0
375,TX,Donley,926.8860000000001,0.0
376,TX,Duval,1793.481,0.0
377,TX,Eastland,926.4910000000001,0.0
378,TX,Edwards,2117.8579999999997,0.0
379,TX,El Paso,1012.693,0.16995285983142222
380,TX,Erath,1083.0710000000001,0.0
381,TX,Falls,765.4830000000001,0.0
382,TX,Fannin,890.837,0.0
383,TX,Fayette,950.008,0.0
384,TX,Fisher,898.941,0.0
385,TX,Franklin,284.39099999999996,0.0
386,TX,Frio,1133.5,0.0
387,TX,Gaines,1502.375,0.0
388,TX,Garza,893.4119999999999,0.0
389,TX,Gillespie,1058.214,0.0003165184198393771
390,TX,Gonzales,1066.688,0.11124863869142132
391,TX,Gray,925.9739999999999,0.0
392,TX,Grayson,932.804,0.0
393,TX,Robertson,855.683,0.0
394,TX,Washington_TX,603.9540000000001,0.15642534971848668
395,TX,Ellis,935.487,0.17045651376104254
396,TX,Cameron,890.922,0.0
397,TX,Reeves,2635.375,0.03828597455233382
398,TX,Guadalupe,711.3,0.22727513278839304
