,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,household_income,annual_vmt
39,Modoc,CA,14557953460.0,3410706.6010000003,36576111.7,1248550.126,5104.00004,270.03154,0.0,4833.9685,5.3,0.0,94.7,5.290586638398961,3917.77,9686,2910,6776,70.0,2.4723248174344077,rural,362.0,371.0,16.0,56.0,56.0,12.0,"$45,227",5,"$35,000 to $49,999",10180.84
40,Siskiyou,CA,42488910400.0,20046747.27,215296606.6,7339722.0,30059.9996,1676.8786,0.0,28383.121,5.6,0.0,94.4,5.578438589946541,6277.887,44900,15344,29556,65.8,7.152087955708665,rural,288.0,317.0,5.0,51.0,52.0,5.0,"$47,560",5,"$35,000 to $49,999",10180.84
41,Tehama,CA,97800137400.0,22844461.31,248410978.0,8376160.6,34842.9996,2779.1266,0.0,32063.873,8.0,0.0,92.0,7.97614042471218,2949.709,63463,30787,32676,51.5,21.515003683414193,rural,198.0,225.0,29.0,42.0,46.0,20.0,"$47,572",5,"$35,000 to $49,999",10180.84
42,Tulare,CA,1328870700200.0,78227667.1,1936033040.0,33501439.700000007,326745.004,312656.41,8046.0414,6042.5526,95.7,2.5,1.8,55.68819906144284,4824.215,442179,373730,68449,15.5,91.65822833352162,suburban,36.0,93.0,9.0,18.0,33.0,7.0,"$48,763",5,"$35,000 to $49,999",10180.84
43,Yuba,CA,165751583800.0,10201793.8,245504989.0,4271862.65,41347.0,39327.559,0.0,2019.441,95.1,0.0,4.9,55.115870531077164,631.839,72155,53234,18921,26.2,114.19839547732887,suburban,141.0,79.0,325.0,38.0,27.0,52.0,"$47,504",5,"$35,000 to $49,999",10180.84
44,El Dorado,CA,608605500000.0,40088536.0,818253240.0,17129298.0,137800.0,137800.0,0.0,0.0,100.0,0.0,0.0,93.5320048209676,1707.882,181058,118231,62827,34.7,106.01311682357634,suburban,55.0,83.0,50.0,24.0,29.0,27.0,"$81,869",7,"$75,000 to $99,999",10896.06
45,Napa,CA,202352520000.0,36180631.0,738488400.0,15459503.0,124367.0,124367.0,0.0,0.0,100.0,0.0,0.0,100.0,748.362,136484,118194,18290,13.4,182.3769779865894,suburban,124.0,60.0,288.0,36.0,20.0,48.0,"$85,624",7,"$75,000 to $99,999",10896.06
46,Placer,CA,475530950000.0,85024933.0,1735456900.0,36330024.0,292264.0,292264.0,0.0,0.0,100.0,0.0,0.0,100.0,1407.009,348432,300393,48039,13.8,247.64020699227936,suburban,69.0,46.0,71.0,30.0,18.0,32.0,"$89,175",7,"$75,000 to $99,999",10896.06
47,San Benito,CA,91283821900.0,16448015.9,317478692.0,6920101.289999999,52933.9997,50586.184,0.0,2347.8157,95.6,0.0,4.4,55.564635713751834,1388.71,55269,42002,13267,24.0,39.798806086223905,suburban,208.0,163.0,74.0,44.0,41.0,35.0,"$80,063",7,"$75,000 to $99,999",10896.06
48,San Diego,CA,4227016200000.0,755790500.0,15426556000.0,322939230.0,2597948.0,2597948.0,0.0,0.0,100.0,0.0,0.0,87.65477370735451,4206.63,3095313,2993259,102054,3.3,735.8177448456365,suburban,10.0,21.0,13.0,6.0,9.0,9.0,"$78,777",7,"$75,000 to $99,999",10896.06
49,Santa Barbara,CA,560001370000.0,100128250.0,2043733000.0,42783468.0,344180.0,344180.0,0.0,0.0,100.0,0.0,0.0,73.62472333906354,2735.085,423895,402626,21269,5.0,154.98421438456208,suburban,58.0,64.0,31.0,25.0,23.0,21.0,"$75,646",7,"$75,000 to $99,999",10896.06
50,Santa Cruz,CA,1050714500000.0,69210035.0,1412656600.0,29572528.0,237902.0,237902.0,0.0,0.0,100.0,0.0,0.0,100.0,445.17,262382,230793,31589,12.0,589.3973088932318,suburban,39.0,26.0,370.0,20.0,10.0,57.0,"$84,213",7,"$75,000 to $99,999",10896.06
51,Solano,CA,1325514500000.0,87310969.0,1782117600.0,37306816.0,300122.0,300122.0,0.0,0.0,100.0,0.0,0.0,100.0,821.765,413344,397974,15370,3.7,502.9953818914166,suburban,37.0,27.0,267.0,19.0,11.0,46.0,"$82,808",7,"$75,000 to $99,999",10896.06
52,Sonoma,CA,1675351900000.0,127469330.0,2601795900.0,54465948.0,438162.0,438162.0,0.0,0.0,100.0,0.0,0.0,100.0,1575.849,483878,424102,59776,12.4,307.058607772699,suburban,31.0,41.0,54.0,15.0,16.0,29.0,"$81,002",7,"$75,000 to $99,999",10896.06
53,Ventura,CA,3142118000000.0,206969720.0,4224490700.0,88435410.0,711436.0,711436.0,0.0,0.0,100.0,0.0,0.0,89.39145118856304,1843.132,823318,797593,25725,3.1,446.6948397104279,suburban,19.0,32.0,46.0,10.0,14.0,26.0,"$84,170",7,"$75,000 to $99,999",10896.06
54,Santa Clara,CA,5562641400000.0,423234160.0,8871928700.0,180842330.0,1496123.0,1496123.0,0.0,0.0,100.0,0.0,0.0,91.19585013896692,1290.1,1781642,1762335,19307,1.1,1381.010774358577,urban,9.0,14.0,85.0,5.0,8.0,37.0,"$125,933",9,"$125,000 to $149,999",11924.15
55,Aitkin,MN,103216630000.0,11259298.0,159219300.0,6433884.6,22605.0,0.0,0.0,22605.0,0.0,0.0,100.0,0.0,1821.662,16202,0,16202,100.0,8.89407096702299,rural,189.0,303.0,47.0,50.0,77.0,9.0,"$44,016",5,"$35,000 to $49,999",10068.38
56,Beltrami,MN,205040683000.0,30583339.17,434979743.0,17350276.53,62005.0002,2100.3242,0.0,59904.676,3.4,0.0,96.6,3.3873465045761653,2504.94,44442,14626,29816,67.1,17.74174231718125,rural,122.0,248.0,35.0,28.0,59.0,4.0,"$47,073",5,"$35,000 to $49,999",10068.38
57,Koochiching,MN,65946634000.0,7123274.8,118390379.0,3179757.400000001,18571.0,14856.8,0.0,3714.2,80.0,0.0,20.0,40.0,3104.07,13311,7055,6256,47.0,4.2882409224018785,suburban,237.0,346.0,27.0,65.0,84.0,2.0,"$46,281",5,"$35,000 to $49,999",10068.38
