ZIP Code,DMV ID,Vehicle Name,Registration Valid Date
47115,1,Tesla Model S,03/06/2019
47715,1,Tesla Model 3,03/06/2019
47715,1,Tesla Model S,03/06/2019
47715,1,Tesla Model S,03/06/2019
48126,1,Ford Focus EV,03/06/2019
48126,1,Ford Focus EV,03/06/2019
48126,1,Ford Fusion Energi,03/06/2019
48126,1,Ford Fusion Energi,03/06/2019
48126,1,Ford Fusion Energi,03/06/2019
48126,1,Ford Fusion Energi,03/06/2019
48603,1,Chevrolet Volt,03/06/2019
50273,1,Ford Fusion Energi,03/06/2019
53005,1,Tesla Model 3,03/06/2019
54304,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model S,03/06/2019
54902,1,Tesla Model X,03/06/2019
54902,1,Tesla Model X,03/06/2019
54902,1,Tesla Model X,03/06/2019
54902,1,Tesla Model X,03/06/2019
54902,1,Tesla Model X,03/06/2019
54902,1,Tesla Model X,03/06/2019
54902,1,Toyota Prius Prime,03/06/2019
54903,1,Tesla Model S,03/06/2019
55439,1,Chevrolet Bolt EV,03/06/2019
55439,1,Chevrolet Volt,03/06/2019
60015,1,Ford Fusion Energi,03/06/2019
60015,1,Ford Fusion Energi,03/06/2019
60015,1,Ford Fusion Energi,03/06/2019
60181,1,Ford Fusion Energi,03/06/2019
61348,1,BMW i3,03/06/2019
63105,1,Tesla Model 3,03/06/2019
63105,1,Tesla Model 3,03/06/2019
63105,1,Tesla Model 3,03/06/2019
63105,1,Tesla Model S,03/06/2019
63132,1,Tesla Model 3,03/06/2019
63132,1,Tesla Model 3,03/06/2019
63179,1,Ford Fusion Energi,03/06/2019
64093,1,Tesla Model 3,03/06/2019
64836,1,Tesla Model 3,03/06/2019
66503,1,Chevrolet Volt,03/06/2019
68005,1,Chevrolet Volt,03/06/2019
68022,1,Tesla Model S,03/06/2019
70634,1,Tesla Model 3,03/06/2019
71106,1,Tesla Model X,03/06/2019
73026,1,BMW i8,03/06/2019
74523,1,Chevrolet Spark,03/06/2019
75001,1,BMW i3,03/06/2019
75001,1,BMW i3,03/06/2019
75001,1,Fiat 500e,03/06/2019
75001,1,Fiat 500e,03/06/2019
75001,1,Nissan Leaf,03/06/2019
75001,1,Nissan Leaf,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model 3,03/06/2019
75001,1,Tesla Model S,03/06/2019
75001,1,Tesla Model S,03/06/2019
75001,1,Tesla Model S,03/06/2019
