,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
88,Itasca,190753766000.0,33806834.6,445286836.0,19536316.71,62865.0,0.0,2551.057,60313.943,0.0,4.1,95.9,MN
89,Jackson MN,51676333000.0,7094753.8,100845299.0,4739442.5,14323.0,0.0,8014.8137,6308.1863,0.0,56.0,44.0,MN
90,Kanabec,97102992500.0,11551792.680000002,158933831.4,6963939.89,22657.000200000002,1326.0785,5085.2777,16245.644,5.9,22.4,71.7,MN
91,Kandiyohi,235423271000.0,27301722.1,403380490.0,16430465.600000001,58932.0,13946.244,18544.172,26441.584,23.7,31.5,44.9,MN
92,Kittson,27069569500.0,3367816.93,44937998.6,1996238.2799999998,6351.00004,0.0,839.39524,5511.6048,0.0,13.2,86.8,MN
93,Koochiching,87786801000.0,9250007.7,130805640.0,5285718.7,18571.0,0.0,0.0,18571.0,0.0,0.0,100.0,MN
94,Lac qui Parle,34848549770.0,5120276.306,71277855.9,3246876.9239999996,10127.999950000001,194.63085,3877.6837,6055.6854,1.9,38.3,59.8,MN
95,Lake MN,46449258100.0,8004394.81,106716054.9,4569011.859,15160.000049999999,747.17774,416.13731,13996.685,4.9,2.7,92.3,MN
96,Lake of the Woods,23305845000.0,3053890.9,39996436.0,1745080.5,5644.0,0.0,0.0,5644.0,0.0,0.0,100.0,MN
97,Le Sueur,142842975000.0,17362337.299999997,264758822.0,11338910.0,38650.9997,8074.7562,21699.133,8877.1105,20.9,56.1,23.0,MN
98,Lincoln,26918784900.0,4350572.43,58193481.7,2591052.8,8226.0,0.0,1228.1479,6997.8521,0.0,14.9,85.1,MN
99,Lyon,135669550000.0,17106092.799999997,249386763.0,10717346.1,36075.9998,5564.0058,14550.185,15961.809,15.4,40.3,44.2,MN
100,McLeod,185870052000.0,21763873.9,346519830.0,14527275.23,51134.9999,14361.98,33559.097,3213.9229,28.1,65.6,6.3,MN
101,Mahnomen,24597208000.0,3761566.9,53192840.0,2149466.8,7552.0,0.0,0.0,7552.0,0.0,0.0,100.0,MN
102,Marshall,54267312580.0,7117857.2,93314948.1,4075408.594,13169.000223000001,0.0,94.284223,13074.716,0.0,0.7,99.3,MN
103,Martin MN,134828675000.0,14369002.6,201616670.0,8377039.279999999,29076.0,4430.2018,4752.6572,19893.141,15.2,16.3,68.4,MN
104,Meeker,142206493500.0,16281123.56,227614359.0,10078021.530000001,32508.000099999997,2088.6291,10382.693,20036.678,6.4,31.9,61.6,MN
105,Mille Lacs,134299239000.0,17551630.5,253046369.0,11117125.98,36409.9992,4079.7232,15307.043,17023.233,11.2,42.0,46.8,MN
106,Morrison,227741226600.0,24204941.48,326794253.1,14488364.809999999,46317.99989,841.93139,8217.3665,37258.702,1.8,17.7,80.4,MN
107,Mower,234220135000.0,25423311.8,376931428.0,16339460.3,54639.9991,8859.7801,26808.145,18972.074,16.2,49.1,34.7,MN
108,Murray,55644116700.0,6330295.1,86008113.0,3885425.1,12173.0,0.0,3135.6907,9037.3093,0.0,25.8,74.2,MN
109,Nicollet,181507386000.0,21030671.4,310597553.0,12042587.2,45660.000400000004,13427.279,8807.0994,23425.622,29.4,19.3,51.3,MN
110,Nobles,131996687000.0,14224971.7,206272519.0,8824966.870000001,29825.9997,4587.8957,11053.903,14184.201,15.4,37.1,47.6,MN
111,Norman,31137355000.0,4761729.2,67336275.0,2720988.1,9560.0,0.0,0.0,9560.0,0.0,0.0,100.0,MN
112,Olmsted,920943840000.0,74191870.0,1315503660.0,44197714.0,201254.00300000003,109726.57,91527.433,0.0,54.5,45.5,0.0,MN
