,counties,county_stripped
229,"Garza County, Texas",Garza
230,"Gillespie County, Texas",Gillespie
231,"Glasscock County, Texas",Glasscock
232,"Goliad County, Texas",Goliad
233,"Gonzales County, Texas",Gonzales
234,"Gray County, Texas",Gray
235,"Grayson County, Texas",Grayson
236,"Gregg County, Texas",Gregg
237,"Grimes County, Texas",Grimes
238,"Guadalupe County, Texas",Guadalupe
239,"Hale County, Texas",Hale
240,"Hall County, Texas",Hall
241,"Hamilton County, Texas",Hamilton
242,"Hansford County, Texas",Hansford
243,"Hardeman County, Texas",Hardeman
244,"Hardin County, Texas",Hardin
245,"Harris County, Texas",Harris
246,"Harrison County, Texas",Harrison
247,"Hartley County, Texas",Hartley
248,"Haskell County, Texas",Haskell
249,"Hays County, Texas",Hays
250,"Hemphill County, Texas",Hemphill
251,"Henderson County, Texas",Henderson
252,"Hidalgo County, Texas",Hidalgo
253,"Hill County, Texas",Hill
254,"Hockley County, Texas",Hockley
255,"Hood County, Texas",Hood
256,"Hopkins County, Texas",Hopkins
257,"Houston County, Texas",Houston
258,"Howard County, Texas",Howard
259,"Hudspeth County, Texas",Hudspeth
260,"Hunt County, Texas",Hunt
261,"Hutchinson County, Texas",Hutchinson
262,"Irion County, Texas",Irion
263,"Jack County, Texas",Jack
264,"Jackson County, Texas",Jackson
265,"Jasper County, Texas",Jasper
266,"Jeff Davis County, Texas",Jeff Davis
267,"Jefferson County, Texas",Jefferson
268,"Jim Hogg County, Texas",Jim Hogg
269,"Jim Wells County, Texas",Jim Wells
270,"Johnson County, Texas",Johnson
271,"Jones County, Texas",Jones
272,"Karnes County, Texas",Karnes
273,"Kaufman County, Texas",Kaufman
274,"Kendall County, Texas",Kendall
275,"Kenedy County, Texas",Kenedy
276,"Kent County, Texas",Kent
277,"Kerr County, Texas",Kerr
278,"Kimble County, Texas",Kimble
279,"King County, Texas",King
280,"Kinney County, Texas",Kinney
281,"Kleberg County, Texas",Kleberg
282,"Knox County, Texas",Knox
283,"Lamar County, Texas",Lamar
284,"Lamb County, Texas",Lamb
285,"Lampasas County, Texas",Lampasas
286,"La Salle County, Texas",La Salle
287,"Lavaca County, Texas",Lavaca
288,"Lee County, Texas",Lee
289,"Leon County, Texas",Leon
290,"Liberty County, Texas",Liberty
291,"Limestone County, Texas",Limestone
292,"Lipscomb County, Texas",Lipscomb
293,"Live Oak County, Texas",Live Oak
294,"Llano County, Texas",Llano
295,"Loving County, Texas",Loving
296,"Lubbock County, Texas",Lubbock
297,"Lynn County, Texas",Lynn
298,"McCulloch County, Texas",McCulloch
299,"McLennan County, Texas",McLennan
300,"McMullen County, Texas",McMullen
301,"Madison County, Texas",Madison
302,"Marion County, Texas",Marion
303,"Martin County, Texas",Martin
304,"Mason County, Texas",Mason
305,"Matagorda County, Texas",Matagorda
306,"Maverick County, Texas",Maverick
307,"Medina County, Texas",Medina
308,"Menard County, Texas",Menard
309,"Midland County, Texas",Midland
310,"Milam County, Texas",Milam
311,"Mills County, Texas",Mills
312,"Mitchell County, Texas",Mitchell
313,"Montague County, Texas",Montague
314,"Montgomery County, Texas",Montgomery
315,"Moore County, Texas",Moore
316,"Morris County, Texas",Morris
317,"Motley County, Texas",Motley
318,"Nacogdoches County, Texas",Nacogdoches
319,"Navarro County, Texas",Navarro
320,"Newton County, Texas",Newton
321,"Nolan County, Texas",Nolan
322,"Nueces County, Texas",Nueces
323,"Ochiltree County, Texas",Ochiltree
324,"Oldham County, Texas",Oldham
325,"Orange County, Texas",Orange
326,"Palo Pinto County, Texas",Palo Pinto
327,"Panola County, Texas",Panola
328,"Parker County, Texas",Parker
329,"Parmer County, Texas",Parmer
330,"Pecos County, Texas",Pecos
331,"Polk County, Texas",Polk
332,"Potter County, Texas",Potter
333,"Presidio County, Texas",Presidio
334,"Rains County, Texas",Rains
335,"Randall County, Texas",Randall
336,"Reagan County, Texas",Reagan
337,"Real County, Texas",Real
338,"Red River County, Texas",Red River
339,"Reeves County, Texas",Reeves
340,"Refugio County, Texas",Refugio
341,"Roberts County, Texas",Roberts
342,"Robertson County, Texas",Robertson
343,"Rockwall County, Texas",Rockwall
344,"Runnels County, Texas",Runnels
345,"Rusk County, Texas",Rusk
346,"Sabine County, Texas",Sabine
347,"San Augustine County, Texas",San Augustine
348,"San Jacinto County, Texas",San Jacinto
349,"San Patricio County, Texas",San Patricio
350,"San Saba County, Texas",San Saba
351,"Schleicher County, Texas",Schleicher
352,"Scurry County, Texas",Scurry
