,Fuel Type Code,Station Name,City,State,ZIP,Latitude,Longitude,ID,E85 Blender Pump,Points,County
1234,E85,Kum & Go #143,Cabot,AR,72023,34.952197,-92.00808599999999,44861,True,"(-92.00808599999999, 34.952197)",Lonoke
1235,E85,Kum & Go #146,Little Rock,AR,72209,34.6702299,-92.36298599999999,44862,False,"(-92.36298599999999, 34.6702299)",Pulaski
1236,E85,Kum & Go #144,North Little Rock,AR,72116,34.80288191,-92.25321109999999,44863,True,"(-92.25321109999999, 34.80288191)",Pulaski
1237,E85,Break Time Convenience Store #3133,Sikeston,MO,63801,37.183044,-89.653269,44866,False,"(-89.653269, 37.183044)",Scott
1238,E85,Kum & Go #969,Rock Springs,WY,82901,41.597541,-109.204699,44868,False,"(-109.204699, 41.597541)",Sweetwater
1239,E85,Corner Store #1159,Highlands Ranch,CO,80129,39.56188,-104.98739099999999,46351,False,"(-104.98739099999999, 39.56188)",Douglas
1240,E85,Agriland Fast Stop Express,Knoxville,IA,50138,41.327826,-93.108961,46352,False,"(-93.108961, 41.327826)",Marion
1241,E85,Kum & Go #509,Marion,IA,52302,42.032168,-91.625,46353,True,"(-91.625, 42.032168)",Linn
1242,E85,Cubby's,Percival,IA,51648,40.688701,-95.79239100000001,46354,True,"(-95.79239100000001, 40.688701)",Fremont
1243,E85,Jim Lind Shell Service,Waterloo,IA,50702,42.468951000000004,-92.353985,46355,True,"(-92.353985, 42.468951000000004)",Black Hawk
1244,E85,Navy Exchange - Annapolis,Annapolis,MD,21402,38.994042,-76.470558,46357,False,"(-76.470558, 38.994042)",Anne Arundel
1245,E85,A Stop 24 - Aurora Co-op,Aurora,NE,68818,40.869964,-98.05395,46358,True,"(-98.05395, 40.869964)",Hamilton
1246,E85,Bucky's Express #45,Omaha,NE,68138,41.165476,-96.138906,46360,False,"(-96.138906, 41.165476)",Sarpy
1247,E85,Bucky's Express #84,Omaha,NE,68124,41.229411,-96.043543,46361,False,"(-96.043543, 41.229411)",Douglas
1248,E85,Max Fuel Express #41,Calvert City,KY,42029,37.003964,-88.329319,47229,False,"(-88.329319, 37.003964)",Marshall
1249,E85,Propel Fuels - Shell,Fullerton,CA,92831,33.873803,-117.90748400000001,47303,False,"(-117.90748400000001, 33.873803)",Orange
1250,E85,MAPCO Express #3638,Ringgold,GA,30736,34.936757,-85.205845,47306,False,"(-85.205845, 34.936757)",Catoosa
